SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
MARINA;12/2012;B;90,13;285;Cruise Ship Inspection Program 2012/2013 - December 2012
PACIFIC PRINCESS;01/2012;A;98,40;80;Cruise Ship Inspection Program 2011/2012 - December 2011
MSC MUSICA;02/2013;A;99,59;20;Cruise Ship Inspection Program 2012/2013 - February 2013
GRAND MISTRAL;11/2012;D;87,96;610;Cruise Ship Inspection Program 2012/2013 - November 2012
COSTA SERENA;03/2013;A;98,61;70;Cruise Ship Inspection Program 2012/2013 - March 2013
MSC ORCHESTRA;12/2012;B;95,85;210;Cruise Ship Inspection Program 2012/2013 - December 2012
MSC MAGNIFICA;12/2015;A;97,36;130;Cruise Ship Inspection Program 2015/2016 - December 2015
SOVEREIGN (SOBERANO);01/2013;A;98,20;90;Cruise Ship Inspection Program 2012/2013 - January 2013
SIRENA;02/2019;A;99,39;18;Cruise Ship Inspection Program 2018/2019 - February 2019
BLACK WATCH;01/2014;C;91,84;400;Cruise Ship Inspection Program 2013/2014 - January 2014
GOLDEN PRINCESS;01/2014;C;91,08;440;Cruise Ship Inspection Program 2013/2014 - January 2014
COSTA FASCINOSA;12/2012;A;96,74;96;Cruise Ship Inspection Program 2012/2013 - December 2012
ZENITH;02/2013;A;98,10;95;Cruise Ship Inspection Program 2012/2013 - February 2013
SPLENDOUR OF THE SEA;03/2014;B;94,65;265;Cruise Ship Inspection Program 2013/2014 - March 2014
ARCADIA;01/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - January 2013
CRYSTAL SYMPHONY;11/2018;A;96,97;145;Cruise Ship Inspection Program 2018/2019 -  November 2018
SPLENDOUR OF THE SEA;12/2013;A;97,47;125;Cruise Ship Inspection Program 2013/2014 - December 2013
COSTA FORTUNA;03/2011;D;77,35;760;Cruise Ship Inspection Program 2010/2011 - March 2011
CRYSTAL SERENITY;03/2017;B;96,10;195;Cruise Ship Inspection Program 2016/2017 - March 2017
MSC PREZIOSA;12/2016;A;98,80;60;Cruise Ship Inspection Program 2016/2017 - December 2016
VEENDAM;02/2019;A;97,20;140;Cruise Ship Inspection Program 2018/2019 - February 2019
CRYSTAL SYMPHONY;01/2016;B;95,10;245;Cruise Ship Inspection Program 2015/2016 - January 2016
MSC SPLENDIDA;12/2015;A;99,10;45;Cruise Ship Inspection Program 2015/2016 - December 2015
INSIGNIA;12/2019;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  December 2019
SEVEN SEAS EXPLORER;01/2019;B;94,80;260;Cruise Ship Inspection Program 2018/2019 - January 2019
MARINA;12/2015;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - December 2015
ADONIA;12/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  November 2017
